Anchor Post,Lat,Long
ROW10AHCPOST01,53.26816728,-0.52461248
ROW09AHCPOST01,53.26816948,-0.52457549
ROW08AHCPOST01,53.26817367,-0.52453852
ROW07AHCPOST01,53.26817663,-0.52450069
ROW06AHCPOST01,53.2681797,-0.52446436
ROW05AHCPOST01,53.26818276,-0.52442716
ROW04AHCPOST01,53.26818609,-0.52438996
ROW03AHCPOST01,53.26818968,-0.52435335
ROW02AHCPOST01,53.26819289,-0.52431646
ROW01AHCPOST01,53.26819591,-0.52427911
ROW01AHCPOST02,53.26803061,-0.52423793
ROW02AHCPOST02,53.26802763,-0.52427472
ROW03AHCPOST02,53.26802451,-0.5243116
ROW04AHCPOST02,53.26802097,-0.52434913
ROW05AHCPOST02,53.26801816,-0.52438664
ROW06AHCPOST02,53.26801511,-0.52442396
ROW07AHCPOST02,53.26801178,-0.5244608
ROW08AHCPOST02,53.26800798,-0.52449784
ROW09AHCPOST02,53.2680053,-0.52453479
ROW10AHCPOST02,53.26800174,-0.52457243
