epoch,train_loss,val_loss,val_mse_reg,val_iou_row
1,0.06473909147789354,2.974266117806041e-14,2.974266079287948e-15,1.0
2,2.2780794848884155e-14,3.1211057097260655e-14,3.121105710273716e-15,1.0
3,2.3286370651537483e-14,2.4752090250369688e-14,2.4752090337081034e-15,1.0
4,2.205985131986115e-14,2.905228083706293e-14,2.9052280820633415e-15,1.0
5,2.243086666277357e-14,2.9427085993919215e-14,2.9427085798590498e-15,1.0
6,2.3178630852149694e-14,2.758167021513494e-14,2.758167023156446e-15,1.0
7,2.1747682010183986e-14,2.859894645974781e-14,2.859894616310373e-15,1.0
8,2.3077141690706264e-14,2.650624219407775e-14,2.6506242092762388e-15,1.0
9,2.235690126136581e-14,2.951515435338987e-14,2.951515445196698e-15,1.0
10,2.229306838359288e-14,2.8162154270792154e-14,2.8162154524536937e-15,1.0
11,2.2591505393958836e-14,3.1888091904778556e-14,3.1888091787946422e-15,1.0
12,2.2177669292485314e-14,2.966091895352541e-14,2.9660919283941278e-15,1.0
13,2.2332327616367916e-14,2.6395596886994837e-14,2.639559671174664e-15,1.0
14,2.243224963781875e-14,3.052942182014196e-14,3.0529421422182515e-15,1.0
15,2.2346653808065535e-14,3.378342784048356e-14,3.3783427725476936e-15,1.0
16,2.2644310246336253e-14,3.161362412406361e-14,3.1613623923258386e-15,1.0
17,2.2388629469679062e-14,2.864397348258045e-14,2.8643973864110377e-15,1.0
18,2.312158956342779e-14,2.9092142149144654e-14,2.9092142077037322e-15,1.0
19,2.106080482095768e-14,2.75519430096904e-14,2.755194310826751e-15,1.0
20,2.3925851165905553e-14,2.728003232651711e-14,2.7280032009792505e-15,1.0
21,2.30973373287875e-14,3.303224368113893e-14,3.3032243730427482e-15,1.0
22,2.4947205049069037e-14,2.7074930892427974e-14,2.7074931045770143e-15,1.0
23,2.3743578876551814e-14,3.4457845447630597e-14,3.445784518384555e-15,1.0
